gene	gene_overs	chain	synt	gl_score	gl_exo	chain_len	loc_exo	exon_cover	intr_cover	gene_len	ex_num	ex_fract	intr_fract	flank_cov	exon_perc	chain_len_log	synt_log	intr_perc	single_exon	y
ENST00000515393	54	9	198	583005239	0.019384658155184583	53712582	0.010960710687791923	2992	269983	579476	23	3000	574080	0.5333	0.9973333333333333	7.730076029705603	2.296665190261531	0.470288113154961	0.0	1
ENST00000343684	59	97	117	74231191	0.034144019795411776	9036865	1.0	1179	0	1662	1	1209	0	0.27625	0.9751861042183623	6.956017794486831	2.0681858617461617	0.0	1.0	1
ENST00000334696	39	1	448	860122385	0.02805718162840664	82187292	0.09345658344857703	1284	12455	56640	16	1287	50798	0.33175	0.9976689976689976	7.914804671056647	2.651278013998144	0.2451868183786763	0.0	1
ENST00000536831	32	19	243	415052886	0.033067434044853634	32029883	0.17311126986961958	3877	18519	69374	35	3894	64898	0.4565	0.9956343091936313	7.505555352258977	2.385606273598312	0.28535548090850255	0.0	1
ENST00000277554	31	215	27	10802001	0.1390335796053829	1213765	0.06572787536047339	1755	24946	88753	6	1764	81850	0.21935	0.9948979591836735	6.084134610064959	1.4313637641589874	0.304777031154551	0.0	1
ENST00000369498	6	22	624	380075200	0.02710753911765536	106998849	0.10690251874639492	556	4645	33461	5	570	27164	0.41815	0.9754385964912281	8.029379105950282	2.795184589682424	0.17099838020910027	0.0	1
ENST00000372582	49	11	412	525816488	0.02740094713349986	78078763	0.003962569960220489	2061	518056	1201631	11	2061	1198530	0.58445	1.0	7.892532924195909	2.6148972160331345	0.4322428308010646	0.0	1
ENST00000311922	3	13	228	512813643	0.02498095804391771	48653383	0.21548238012709414	1119	4074	8046	3	1119	4450	0.38405	1.0	7.687113043312526	2.357934847000454	0.915505617977528	0.0	1
ENST00000409418	52	39	136	214062694	0.02936866295416912	20720034	0.03332234080825039	2223	64489	305574	20	2223	300864	0.61415	1.0	7.316390463717996	2.1335389083702174	0.21434601680493512	0.0	1
ENST00000443185	30	83	34	91610867	0.01988233903506012	11580195	0.09247682690234964	3432	33680	137561	7	3492	128883	0.4064	0.9828178694158075	7.06371587257889	1.5314789170422551	0.26132228455265627	0.0	1
ENST00000432096	10	92	21	80268226	0.013935426173152209	7082080	0.01646309081253319	248	14816	43915	3	621	42947	0.22195	0.3993558776167472	6.850160828290818	1.3222192947339193	0.3449833515728689	0.0	1
ENST00000361673	6	30	138	289087671	0.0183478624620333	39657134	0.09226810085588713	6382	62786	147845	13	6513	140408	0.3129	0.9798863810839858	7.598321324771944	2.1398790864012365	0.4471682525212239	0.0	1
ENST00000423738	34	11	412	525816488	0.02740094713349986	78078763	0.9532243415077204	6297	309	7768	2	6873	344	0.52295	0.9161938018332606	7.892532924195909	2.6148972160331345	0.8982558139534884	0.0	1
ENST00000316788	7	37	64	218288781	0.01615942467850275	20083259	0.022802962034243625	582	24941	72147	6	582	70871	0.2541	1.0	7.30283418909407	1.806179973983887	0.351921096075969	0.0	1
ENST00000265085	6	220	5	10489240	0.013061875098586716	975616	0.05354916008509181	2190	38707	73632	10	2190	64214	0.6586	1.0	5.989278914084017	0.6989700043360189	0.6027813249447161	0.0	1
ENST00000306200	47	146	39	32137032	0.05138407254771095	4735214	0.017143441993756718	1005	57618	123081	11	1008	120923	0.4394	0.9970238095238095	6.675339610988497	1.591064607026499	0.4764850359319567	0.0	1
